,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph
1493,435How does photosynthesis occur?,435,How do you grow vegetables?,Natural Sciences,Natural Sciences,How does photosynthesis occur?,Botany,"(seeds, germinate, soil) like (carbon dioxide, absorb, light). (fertilizer, enrich, soil) like (chlorophyll, convert, sunlight). (water, nourish, plants) like (oxygen, release, atmosphere)","To grow vegetables, you must first start with the seeds. The seeds need to be planted in soil and then germinated. Fertilizer can be used to enrich the soil and provide the necessary nutrients for the seeds to germinate. Water must also be given to the plants to nourish them. Without water, the plants will not be able to survive.","Photosynthesis is a process in which plants use sunlight to convert carbon dioxide into glucose. The process begins when carbon dioxide is absorbed by the plant’s leaves. Chlorophyll, a green pigment, captures the light energy of the sun and converts it into chemical energy. The chemical energy is then used to break down the carbon dioxide molecules and create glucose molecules. The glucose is then used as a source of energy for the plant. In the process, oxygen is released into the atmosphere."
1494,648Describe the life cycle of an infectious disease,648,Describe the life cycle of a plant,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of an infectious disease,Biomedical and Health Sciences,"(seeds, germinate, soil) like (viruses, replicate, host cells) (roots, absorb, water) like (pathogens, spread, population) (leaves, produce, oxygen) like (viruses, release, toxins)","The life cycle of a plant begins with the germination of seeds in the soil. The seed absorbs water and expands, and a small shoot emerges from the seed. The shoot grows and develops roots, which allow the plant to absorb nutrients from the soil. The stem and leaves begin to grow and develop. The plant continues to grow and produce flowers, which will eventually produce fruits and seeds, completing the life cycle.","The life cycle of an infectious disease begins with the introduction of a virus into a host organism. The virus then replicates itself inside the host cells, using the host's resources to reproduce itself. After a certain period of time, the virus is released from the host cells and can spread to other organisms. The roots of the host organism can also absorb water, which can then be transferred to other organisms, allowing the virus to spread even further."
1495,689Describe the process of treating a disease.,689,Describe the process of planting crops.,Natural Sciences,Biomedical and Health Sciences,Describe the process of treating a disease.,Biomedical and Health Sciences,"(seed, planted, soil) like (medicine, administered, patient). (fertilizer, applied, plants) like (therapy, applied, patient). (harvest, collected, grains) like (data, collected, symptoms)","The process of planting crops begins with planting the seed in the soil. Fertilizer is then applied to the plants to help them grow. The plants are then watered and maintained until the harvest time, when the grains are collected.","When treating a disease, a medical professional will first collect data on the patient's symptoms. This information will be used to develop a tailored treatment plan. Medicine is then administered to the patient to help alleviate the symptoms. Therapy may also be applied to the patient to help them recover from the disease."
1496,1087Describe the typical steps involved in voting.,1087,Describe the typical steps involved in camping.,Natural Sciences,Social Sciences,Describe the typical steps involved in voting.,Political Science,"(pack, bring, tent) like (register, bring, identification). (check, assemble, camping gear) like (familiarize, assemble, polling materials). (set up, stake, tent) like (mark, cast, ballot). (start, build, campfire) like (start, count, votes)","When camping, the first step is to pack and bring the necessary items, such as a tent. After arriving, it's important to check and assemble all the camping gear. The next step is to set up the tent by staking it into the ground. Finally, you can start to build a campfire for warmth and cooking.","The first step in voting is to register, for which you need to bring some form of identification. Then, you will need to familiarize yourself with the polling materials, such as the ballot, before you can cast your vote. Once you are ready, you will mark your ballot and cast it in the voting box. Finally, the votes will be counted to start the process of tallying the results."
1497,747How does a society change over time?,747,How do caverns form?,Natural Sciences,Social Sciences,How does a society change over time?,Sociology,"(water, erodes, rock) like (culture, shapes, society). (minerals, deposit, stalactites) like (traditions, pass, generations). (dissolution, enlarges, caves) like (innovation, alters, behavior)",Caverns form when water erodes the rock over time. The water carries dissolved minerals which deposit on the cave walls and ceiling. This process of dissolution slowly enlarges the caves and creates structures such as stalactites and stalagmites.,"Culture is a major factor in shaping a society. Traditions are passed down from generation to generation, and can shape the values and beliefs of a society. Innovation is also a major contributor to the change of a society, as it can alter the behavior of its citizens. With the continuous introduction of new ideas and technologies, societies are constantly evolving."
1501,36How does cultural change happen?,36,How does igneous rock form?,Natural Sciences,Social Sciences,How does cultural change happen?,Social Sciences,"(magma, solidifies, igneous rock) like (ideas, spread, cultural change). (molten material, cools, crystals) like (beliefs, evolve, new practices). (volcanic eruption, creates, new rock) like (societal transformation, produces, new norms)","Igneous rock is formed when magma cools and solidifies. As the molten material cools, crystals form and eventually fuse together to form the igneous rock. Volcanic eruptions can also create new rock by rapidly cooling the molten material. These eruptions can create large deposits of igneous rock that are exposed by erosion.","Cultural change happens when ideas and beliefs spread throughout the population. When people are exposed to new ideas, beliefs evolve and new practices become established. This societal transformation results in a shift in values, producing new norms and behaviors."
1503,116How do social institutions develop over time?,116,How are mountains formed?,Natural Sciences,Social Sciences,How do social institutions develop over time?,Sociology,"(tectonic plates, collide, rock formations) like (institutions, interact, culture). (sediments, accumulate, sedimentary rocks) like (ideas, accumulate, social norms). (volcanic eruptions, cause, layers of magma) like (conflict, cause, changes in society)","Mountains are formed when tectonic plates collide, resulting in immense pressure on rock formations. This pressure causes the rock formations to be pushed up and folded, forming mountains. Over time, sediments accumulate and are compressed into sedimentary rocks. In addition, volcanic eruptions can cause layers of magma to form, further contributing to the formation of mountains.","Social institutions develop over time as they interact with the culture. Ideas accumulate and become accepted as social norms. As different ideas, beliefs, and values come into play, conflict can arise and cause changes in society, which can result in the evolution of social institutions."
1505,961Describe the process of photosynthesis.,961,Describe the process of using coal to heat a house.,Engineering,Natural Sciences,Describe the process of photosynthesis.,Biology,"(coal, releases, heat) like (chloroplast, produces, energy) . (stoker, regulates, fire) like (chlorophyll, absorbs, light) . (flue, disperses, smoke) like (glucose, transports, oxygen)","Coal is used to heat a house by releasing heat. The heat is regulated by a stoker, which adds coal to the fire and maintains the temperature. The smoke created by the burning of the coal is dispersed through a flue. The flue sends the smoke away from the building, and the heat created by the burning coal is used to warm the house.","Photosynthesis is the process in which plants use energy from the sun to convert carbon dioxide and water into energy-rich molecules like glucose. Chloroplasts, which are special organelles found in plant cells, are responsible for producing this energy. Chlorophyll, a molecule found in these chloroplasts, absorbs light energy and converts it into chemical energy. This energy is then used to transform carbon dioxide and water into glucose molecules, which transport oxygen as a byproduct."
1511,1104How do communities form?,1104,How do mountains form?,Natural Sciences,Social Sciences,How do communities form?,Sociology,"(plates, move together, continental crust) like (people, move together, into cities). (tectonic forces, push up, rocky material) like (cultural forces, push up, social structure). (volcanic activity, build up, mountain range) like (economic activity, build up, society)","Mountains form when tectonic plates move together and push up the continental crust. The tectonic forces cause intense pressure on the rocky material, pushing it up to form mountains. Additionally, volcanic activity can also build up mountains by depositing layers of lava and ash, creating a mountain range.","People tend to move together into cities in order to form a community. Social structures are shaped by cultural forces and values, which dictate how people interact and live together. Economic activity plays a crucial role in the formation of a community, as it builds up the society and provides resources and opportunities for people to thrive."
1512,64How do social networks form?,64,How are ravines formed?,Natural Sciences,Social Sciences,How do social networks form?,Social Sciences,"(water, erodes, soil) like (information, spreads, among people). (slope, influences, runoff) like (opinions, influences, others). (gravitational force, pulls, sediment) like (peer pressure, pulls, individuals)","Ravines are formed by erosion. Water erodes soil and rock and the slope of the land influences the speed of the runoff. The gravitational force of the water also pulls sediment down the slope, creating a deep gully. Over time, the force of the water will deepen the gully and form a ravine.","Social networks are formed when information spreads among people. Individuals form opinions that influence the opinions of others. Peer pressure also plays a role in social networks, as it pulls individuals into the same group. This can create a cohesive unit that further strengthens the social network."
1513,773How do social groups form?,773,How do minerals form?,Natural Sciences,Social Sciences,How do social groups form?,Social Sciences,"(atoms, combine, crystals) like (individuals, combine, groups). (heat, cause, melting) like (attitudes, cause, bonding). (pressure, promote, sedimentation) like (influences, promote, consensus)","Minerals are formed when atoms combine to form crystals. This process is known as crystallization. Heat can cause the minerals to melt and mix together, forming new crystalline structures. Pressure can also promote the process of sedimentation, where minerals settle out of a solution and accumulate on the bottom of the container.","Individuals come together to form social groups. Attitudes and beliefs held by the individuals can cause a bonding between them, which leads to the formation of the group. External influences can also promote the consensus of the group, leading to greater cohesiveness and a shared sense of identity."
1530,1005How does a robotic arm perform a surgical procedure?,1005,How do you make ice cubes?,Engineering,Engineering,How does a robotic arm perform a surgical procedure?,Robotics Engineering,"(ice tray, fill with, water) like (robotic arm, fill with, instruments) . (refrigerator, cool, water) like (computer, control, robotic arm) . (freezer, freeze, water) like (sensors, monitor, patient vitals)","Making ice cubes is easy. First, you need to fill an ice tray with water. Then, place the ice tray in the refrigerator to cool the water. Finally, put the ice tray in the freezer to freeze the water, and you have ice cubes ready to use.","A robotic arm is used to perform complex surgical procedures. The robotic arm is filled with instruments such as forceps, scalpels, and suction tubes. The computer is used to control the robotic arm and its movements. Sensors are also used to monitor the patient's vitals during the procedure. The robotic arm is able to detect any changes in the patient's vital signs and make adjustments accordingly."
1533,705Describe the process of conducting an experiment,705,Describe the process of writing and posting a letter,Social Sciences,Social Sciences,Describe the process of conducting an experiment,Social Sciences,"(pen, compose, message) like (hypothesis, develop, study). (envelope, seal, letter) like (data, collect, results). (stamp, affix, envelope) like (analysis, perform, experiment)","Writing and posting a letter involves composing a message with pen and paper. The message is then placed in an envelope and sealed. Finally, a stamp is affixed to the envelope to indicate it is ready for delivery.","When conducting an experiment, the first step is to develop a hypothesis that you wish to study. Next, you will need to collect data that will be used to test this hypothesis. Finally, you will need to perform an analysis of the data to determine the results of the experiment."
1535,1005How does the process of photosynthesis work?,1005,How do you make ice cubes?,Engineering,Social Sciences,How does the process of photosynthesis work?,Biology,"(water, freezes, when cooled) like (carbon dioxide, absorbs, when exposed to light). (ice cubes, form, in a freezer) like (glucose, synthesizes, in chloroplasts). (temperature, drops, below freezing) like (chlorophyll, converts, sunlight into energy)","Water freezes when cooled to a temperature below freezing. To make ice cubes, you need to place the water in a freezer so that the temperature drops below freezing. As the temperature decreases, the water turns to ice and ice cubes form.","Photosynthesis is the process by which plants and other organisms convert sunlight into energy. Chlorophyll, a green pigment found in plants, absorbs light and converts it into energy. The energy is then used to break down carbon dioxide, which is absorbed when exposed to light, and synthesize glucose in the chloroplasts. This glucose is then stored in the plant to provide it with energy."
1542,1095How does the human cardiovascular system function?,1095,How is a white dwarf star formed?,Natural Sciences,Biomedical and Health Sciences,How does the human cardiovascular system function?,Biomedical and Health Sciences,"(nuclear reaction, produces, heat and light) like (heartbeat, produces, blood circulation). (proton, attracts, electron) like (artery, attracts, oxygenated blood). (hydrogen, fuses, helium) like (blood vessels, transport, oxygenated blood)","A white dwarf star is formed when a star exhausts its energy sources and can no longer sustain the nuclear reaction that produces heat and light. The star's core contracts as gravity overwhelms the outward pressure. The protons attract electrons, forming an atom. The atoms fuse together, forming heavier elements with the most abundant being hydrogen which fuses together to form helium.","The human cardiovascular system functions by having the heartbeat produce blood circulation throughout the body. This blood circulation is attracted to the artery, which is where oxygenated blood is drawn from. The blood vessels then transport the oxygenated blood throughout the body, supplying the cells with the necessary oxygen."
1543,844How does a psychological experiment work?,844,How does an electromagnet work?,Engineering,Social Sciences,How does a psychological experiment work?,Social Sciences,"(electromagnet, creates, magnetic field) like (experiment, creates, data). (current, flows, electromagnet) like (participants, respond, survey). (magnet, attracts, metal) like (hypothesis, attracts, evidence)","An electromagnet is an object that creates a magnetic field when an electric current passes through it. When the current flows through the electromagnet, it creates a magnetic field that is strong enough to attract metal objects. The strength of the magnetic field depends on the amount of current flowing through the electromagnet.  The magnet created is able to attract metals and other magnets due to the magnetic field it creates.",A psychological experiment is designed to create data by having participants respond to a survey or task. The results of the experiment can then be analyzed to provide evidence for or against a certain hypothesis. This evidence can then be used to evaluate the validity of the hypothesis and determine its accuracy.
1544,1155How does the economic system of a country works?,1155,How is oil formed?,Natural Sciences,Social Sciences,How does the economic system of a country works?,Economics,"(organic matter, decays, underground) like (resources, allocate, society). (hydrocarbons, accumulate, sedimentary rocks) like (money, accumulate, financial institutions). (high pressure, creates, crude oil) like (high demand, creates, inflation)","Oil is formed when organic matter decays and accumulates in sedimentary rocks underground. The heat and high pressure created by the earth's geology causes the hydrocarbons to be transformed into crude oil. This process takes millions of years, and the crude oil is then extracted and refined for use.","The economic system of a country works by allocating resources to the society. This is done by circulating money throughout the country, which accumulates in financial institutions. When there is a high demand for products and services, it leads to inflation, which affects the prices of goods and services."
1545,494Describe the process of photosynthesis,494,Describe the process of hibernation,Natural Sciences,Natural Sciences,Describe the process of photosynthesis,Botany,"(body, decreases, temperature) like (leaves, decreases, water loss). (heart rate, slows down, in hibernation) like (chloroplasts, absorb, energy). (breathing, reduces, in hibernation) like (carbon dioxide, converts, oxygen)","Hibernation is a process in which an animal's body decreases its temperature, heart rate, and breathing. The animal's body temperature is lowered, resulting in a decrease in metabolic rate, and its heart rate slows down significantly. The animal's breathing is also reduced, allowing it to conserve energy during hibernation.","Photosynthesis is the process by which plants convert solar energy into chemical energy. The leaves of a plant decrease water loss by trapping the light energy and transferring it to the chloroplasts. The chloroplasts absorb the energy from the light and use it to convert carbon dioxide and water into oxygen and glucose. The oxygen is released into the atmosphere, while the glucose is used by the plant as food."
1550,1047How do you administer a vaccine?,1047,How do you use a dishwasher?,Engineering,Biomedical and Health Sciences,How do you administer a vaccine?,Biomedical and Health Sciences,"(detergent, cleans, dishes) like (vaccine, protects, body) . (water, fills, dishwasher) like (syringe, injects, vaccine) . (button, activates, cycle) like (doctor, administers, vaccine)","To use a dishwasher, first add detergent which will clean the dishes. Then fill the dishwasher with water, and activate the cycle by pushing the start button. The dishwasher will then begin to run its cycle, causing the water to fill and drain accordingly to clean the dishes.","A vaccine is a substance that helps the body protect itself from a virus or infection. A doctor administers the vaccine, typically through a syringe, to inoculate the body against the virus or infection. The syringe injects the vaccine into the body, which helps the body build up its immunity against the virus or infection."
1551,689Describe the process of building a bridge.,689,Describe the process of planting crops.,Natural Sciences,Engineering,Describe the process of building a bridge.,Civil Engineering,"(seeds, placed in, soil) like (beams, placed in, foundation). (soil, fertilized, nutrients) like (foundation, stabilized, concrete). (roots, grow, deep) like (support, grow, strong)","The process of planting crops begins with placing seeds in the soil. The soil should then be fertilized with the necessary nutrients to help the growth of the crops. As the crops grow, the roots will begin to spread deep into the soil. This helps the plants to access water and nutrients more efficiently, ensuring their healthy growth.","Building a bridge starts with the placement of beams into a foundation. The foundation is typically stabilized by concrete. As the beams are placed into the foundation and the concrete is poured, the support of the bridge continues to grow and become strong."
1557,141How does a government bureaucracy work?,141,How do the lungs work?,Biomedical and Health Sciences,Social Sciences,How does a government bureaucracy work?,Political Science,"(air, enters, lungs) like (laws, enter, bureaucracy). (oxygen, travels, bloodstream) like (regulations, travel, departments). (carbon dioxide, exhaled, atmosphere) like (policies, enforced, citizens)","The lungs are responsible for the exchange of gases. When we breathe, air enters the lungs and oxygen travels through the alveoli and into the bloodstream. At the same time, carbon dioxide is exhaled into the atmosphere. Inside the lungs, oxygen is exchanged for carbon dioxide, and the oxygen-rich blood is then circulated throughout the body.",The government bureaucracy is a system of agencies that operate in accordance with the laws that enter the bureaucracy. These laws are then translated into regulations that travel between the different departments of the bureaucracy. The regulations then become policies that are enforced by the bureaucracy on the citizens.
1560,1004How do cells replicate?,1004,How do you make ice cubes?,Engineering,Biomedical and Health Sciences,How do cells replicate?,Biomedical and Health Sciences,"(water, freezes, into cubes) like (DNA, replicates, into new cells). (refrigerator, cools, water) like (enzymes, catalyze, DNA replication). (ice tray, holds, water) like (nucleus, holds, genetic material)","Making ice cubes is a simple process. Water is frozen into cubes by cooling it down to a temperature that causes it to freeze. This can be done by putting the water into a refrigerator, which cools the water and causes it to freeze. Once the water has frozen, it can be poured into an ice tray that holds the water in place and forms it into cubes.","Cells replicate by copying their DNA into new cells. The nucleus of the cell holds the genetic material, which is then replicated by enzymes that catalyze the process. This replication is the basis for cell division, which allows for the growth and development of living organisms."
1564,844How does photosynthesis work?,844,How does an electromagnet work?,Engineering,Natural Sciences,How does photosynthesis work?,Biology,"(electric current, creates, magnetic field) like (sunlight, creates, energy) . (coil of wire, attracts, metal objects) like (chloroplast, absorbs, light energy) . (magnetic force, affects, current) like (photosynthesis, affects, plants)","An electromagnet works by using an electric current to create a magnetic field. The electric current is passed through a coil of wire which then creates a magnetic field around the coil. This magnetic field is then able to attract metal objects towards it. The magnetic force that is created affects the current in the wire, creating a stronger magnetic field.","Photosynthesis is a process that affects plants. It utilizes the energy from sunlight to produce chemical energy. The chloroplast within the plant absorbs the light energy from the sun, which is then converted into chemical energy. This chemical energy is then used by the plant for various metabolic processes.  Photosynthesis is an essential process for plants to survive, as it helps them to create the energy they need to grow and develop."
1569,1048How does a medical imaging system work?,1048,How do you use a dishwasher?,Engineering,Biomedical and Health Sciences,How does a medical imaging system work?,Biomedical and Health Sciences,"(dishwasher, cleans, dishes) like (imaging system, scans, body). (detergent, loosens, dirt) like (radiation, provides, images). (water, removes, residue) like (computer, processes, data)",Using a dishwasher to clean dishes is a convenient way to clean up after meals. Adding detergent to the machine helps to loosen dirt and debris from the dishes. The water and detergent mixture then helps to remove any residue that remains. The dishwasher then finishes the job by drying the dishes.,A medical imaging system is used to scan the body. It uses radiation to provide images of the body's internal structures. The radiation is detected by the system and the data is processed by a computer. The computer interprets the data and produces images that can be used for medical diagnosis and analysis.
1590,1005How does the immune system fight off pathogens?,1005,How do you make ice cubes?,Engineering,Biomedical and Health Sciences,How does the immune system fight off pathogens?,Biomedical and Health Sciences,"(freezer, cools, water) like (antibodies, fights, viruses). (water molecules, form, ice crystals) like (white blood cells, attack, bacteria). (ice cubes, decrease, temperature) like (vaccines, prevent, disease)","Making ice cubes is a simple process. Firstly, the freezer cools the water until it reaches its freezing point. This causes the water molecules to form ice crystals, which then binds together to form ice cubes. The ice cubes then absorb heat from the surrounding environment, which decreases the temperature.","The immune system is the body's natural defense against pathogens. The body produces antibodies which fight off viruses. White blood cells are also produced to attack and eliminate bacteria. Vaccines can also be used to prevent disease by introducing a weakened form of the pathogen into the body, which will stimulate the immune system and create antibodies to fight it off."
1592,1095How does a motorized wheelchair work?,1095,How is a white dwarf star formed?,Natural Sciences,Engineering,How does a motorized wheelchair work?,Mechanical Engineering,"(gravitational collapse, compresses, stellar core) like (electric motor, propels, wheelchair). (thermonuclear fusion, generates, heat and light) like (battery, powers, motor). (proton and electron, combine, neutron) like (wheel, rotates, axle)","A white dwarf star is formed through gravitational collapse. This collapse compresses the stellar core and increases the temperature. This high temperature causes thermonuclear fusion to occur, generating heat and light. As the temperature increases, protons and electrons combine to form neutrons. The neutron degeneracy pressure prevents further gravitational collapse, creating the white dwarf star.","A motorized wheelchair is powered by an electric motor which propels the wheelchair. The electric motor is powered by a battery, which sends an electrical current to the motor. The motor then rotates the wheel on the axle, which moves the wheelchair forward. The battery also powers the motor, providing the necessary energy for the motor to move the wheelchair."
1598,433How do you create educational programs?,433,How do you grow vegetables?,Natural Sciences,Social Sciences,How do you create educational programs?,Educational Psychology,"(soil, provides, nutrients) like (curriculum, provides, knowledge). (sunlight, helps, plants to grow) like (teaching, helps, students to learn). (water, aids, in photosynthesis) like (feedback, aids, in learning)","Growing vegetables starts with making sure you have quality soil that provides the necessary nutrients for the plants to grow. The soil should be well-drained and allowed to warm to the proper temperature for the type of vegetable you want to grow. The next step is to make sure the plants get enough sunlight, which helps them grow and produce fruit. Finally, you should ensure that the plants are properly hydrated, as water aids in photosynthesis, which helps the plant grow and thrive.",Creating educational programs begins with creating a curriculum that provides the necessary knowledge to students. Teaching methods should be designed to help students learn the necessary material. Providing feedback to students can also aid in their learning and help them understand the material better.
1599,900How does photosynthesis take place in plants?,900,How does the human auditory system work?,Biomedical and Health Sciences,Natural Sciences,How does photosynthesis take place in plants?,Botany,"(ear, perceives, sound waves) like (chloroplast, captures, light energy). (cochlea, converts, sound waves) like (chlorophyll, converts, light energy). (auditory nerve, sends, signals) like (energy, sends, molecules)","The human auditory system starts with the ear, which perceives sound waves. The sound waves are then transmitted to the cochlea, where they are converted into nerve signals. The auditory nerve then sends these signals to the brain, which interprets them as sound. The signals from the auditory nerve help the brain to differentiate between different frequencies and volumes of sound.","Photosynthesis is the process by which plants convert light energy into chemical energy. It occurs in the chloroplast of a plant cell, where chlorophyll molecules capture light energy. The light energy is then converted into chemical energy, which is used to produce glucose molecules. This energy is then sent to other molecules in the plant, such as proteins and lipids."
1603,1025Describe the typical steps in conducting a survey.,1025,Describe the typical steps in repairing a flat bicycle tire.,Engineering,Social Sciences,Describe the typical steps in conducting a survey.,Social Sciences,"(wheel, deflate, tire) like (researcher, collect, data). (valve, unscrew, rim) like (survey, administer, participants). (spoke, loosen, hub) like (questionnaire, design, researcher)","The first step in repairing a flat bicycle tire is to deflate the wheel. This can be done by unscrewing the valve from the rim. Next, the spoke of the wheel has to be loosened from the hub. After that, the inner tube can be removed and inspected for any punctures or tears. Finally, the inner tube can be patched or replaced and then reinstalled into the wheel.","The first step in conducting a survey is for the researcher to design a questionnaire. The researcher then collects data by administering the survey to participants. Once the survey is completed, the researcher can analyze the data collected."
1604,222How are social networks formed?,222,How are clouds formed?,Natural Sciences,Social Sciences,How are social networks formed?,Social Sciences,"(water vapor, condenses, clouds) like (people, connect, networks). (temperature, drops, condensation) like (similar interests, create, relationships). (wind, pushes, clouds) like (shared experiences, propel, connections)","Clouds are formed when water vapor condenses. When the temperature drops, the water vapor condenses into tiny droplets which form clouds. Wind can also push the clouds to form different types of clouds. The wind helps to move the clouds around and form different shapes and sizes of clouds.","Social networks are formed when people connect with each other. People may be drawn together by having similar interests, which can create relationships that are meaningful and lasting. Shared experiences can also propel people to form connections with each other, as they can relate to each other's stories and life experiences."
1614,483Describe the process of constructing a bridge,483,Describe the process of writing and posting a letter,Social Sciences,Natural Sciences,Describe the process of constructing a bridge,Civil Engineering,"(pen, writes, words) like (hammer, hammers, nails). (envelope, seals, letter) like (cement, binds, blocks). (postal service, delivers, mail) like (trucks, transports, materials)","Writing and posting a letter can be a simple process. First, you need to take a pen and write the words you want to communicate on the piece of paper. Then, place the letter into an envelope and seal it. Finally, you can drop the envelope in a mailbox and the postal service will deliver it to the recipient.","Constructing a bridge begins with the gathering of materials, which are usually transported to the construction site by trucks. Hammering nails is an important step in the process, as it provides a strong foundation for the bridge. The nails are then secured with cement, which binds the blocks together for a sturdy structure. Finally, the bridge is complete and ready for use."
1617,772How does a motor work?,772,How do lungs work?,Biomedical and Health Sciences,Engineering,How does a motor work?,Mechanical Engineering,"(air, enter, lungs) like (electricity, enter, motor). (oxygen, absorbed, bloodstream) like (electric current, rotates, rotor). (carbon dioxide, exhaled, atmosphere) like (magnetic field, rotates, armature)","When we breathe in, air enters our lungs. The oxygen in the air is then absorbed into our bloodstream. At the same time, carbon dioxide from our bloodstream is exhaled back into the atmosphere. The lungs work by facilitating the exchange of oxygen and carbon dioxide between our bodies and the atmosphere.","Electricity enters the motor and passes through the windings of the rotor. The electric current passing through the rotor generates a magnetic field that rotates the armature. The rotating armature interacts with the magnetic field of the stator, resulting in a force that causes the rotor to rotate."
1618,643Describe the energy transformation of a solar panel,643,Describe the life cycle of a frog,Natural Sciences,Engineering,Describe the energy transformation of a solar panel,Electrical Engineering,"(egg, hatches, tadpole) like (solar cell, converts, electrical energy). (tadpole, develops, frog) like (electrical energy, transmits, energy grid). (frog, lays, eggs) like (energy grid, distributes, electrical power)","A frog's life cycle begins with the female frog laying eggs. The eggs then hatch into tadpoles. The tadpoles then begin to develop and grow into adult frogs. As the frog grows, it develops features such as lungs and legs. Finally, the adult frog lays eggs, thus completing the cycle.",A solar cell converts the energy of the sun into electrical energy. This electrical energy is then transmitted to the energy grid. The energy grid then distributes the electrical power to homes and businesses. This process ensures that the energy of the sun is transformed into usable electrical power.
1620,636Describe how a robotic arm works,636,Describe the life cycle of a bird,Natural Sciences,Engineering,Describe how a robotic arm works,Engineering,"(bird, hatches, eggs) like (robot, manufactures, products). (bird, migrates, habitat) like (robot, moves, location). (bird, feeds, chicks) like (robot, manipulates, objects)","The life cycle of a bird begins with an egg. The bird hatches from the egg and is ready to explore its environment. As the bird grows, it may migrate to a different habitat. Here, the bird will feed its chicks and care for them until they are ready to fly. Eventually, the bird will take flight and continue to migrate, completing the cycle of its life.","A robotic arm is an automated machine that is used to manufacture products and move objects from one location to another. It is powered by electricity and computer programming which allows it to move and manipulate objects with precision. The robot is equipped with several motors, sensors and gears that help it perform its tasks accurately. The robot is programmed to move the arm in different directions and to control the pressure and speed of the movement. It can also be programmed to lift, rotate, and grip objects."
1635,705Describe the process of designing and constructing a bridge,705,Describe the process of writing and posting a letter,Social Sciences,Engineering,Describe the process of designing and constructing a bridge,Civil Engineering,"(envelope, seal, flap) like (girders, secure, deck). (postage stamp, affix, envelope) like (steel reinforcements, attach, girder). (addressee, receive, letter) like (vehicles, pass, bridge)","Writing and posting a letter is a straightforward process. First, you need to compose a letter and place it in an envelope. Then, you must seal the envelope by folding down the flap. After that, you have to affix an appropriate postage stamp on the envelope. Finally, you take the letter to the post office and the addressee will receive it.","The process for designing and constructing a bridge typically begins with the selection of the type of bridge that is needed. Once the type of bridge is chosen, the girders and other structural elements are then designed and the deck is secured to the girders. Steel reinforcements are then attached to the girder to provide additional strength and stability, allowing it to support the weight of vehicles that will pass over the bridge."
1639,1314Describe how a virus invades a cell.,1314,Describe the life cycle of a tree.,Natural Sciences,Biomedical and Health Sciences,Describe how a virus invades a cell.,Biomedical and Health Sciences,"(tree roots, absorbs, water) like (virus, penetrates, cell membrane) . (tree trunk, exchanges, carbon dioxide) like (virus, exchanges, genetic material) . (leaves, produce, oxygen) like (virus, produces, proteins)","The life cycle of a tree starts with the roots absorbing water and other nutrients from the soil. The nutrients are then moved up to the tree trunk where carbon dioxide is exchanged for oxygen. The leaves of the tree produce oxygen through a process known as photosynthesis. The oxygen is then released into the atmosphere while the tree uses the carbon dioxide to create energy. Finally, the leaves fall off the tree in autumn and the cycle begins again in the spring.","When a virus invades a cell, it first penetrates the cell membrane. Once inside, the virus exchanges its genetic material with the cell's genetic material. The virus then uses the cell's resources to produce proteins, which allow it to replicate itself and spread."
1640,563How does photosynthesis work?,563,How does a steam engine work?,Engineering,Natural Sciences,How does photosynthesis work?,Natural Sciences,"(fuel, combusts, steam) like (sunlight, drives, chemical reactions). (boiler, generates, heat) like (chloroplast, stores, energy). (piston, pressurizes, fluid) like (carbon dioxide, provides, nutrients)","A steam engine works by burning fuel to combust steam. The heat generated from the combustion is used to heat a boiler, which creates steam. The pressure from the steam pressurizes a piston, causing it to move and create mechanical energy. This mechanical energy is then used to power the engine.","Photosynthesis is a process that uses sunlight to drive chemical reactions. The energy from the sunlight is absorbed by the chloroplast, which then stores this energy for later use. The process also requires carbon dioxide, which provides the necessary nutrients for the chemical reactions to take place."
1646,221How does a steam turbine work?,221,How are clouds formed?,Natural Sciences,Engineering,How does a steam turbine work?,Mechanical Engineering,"(water droplets, condense, atmosphere) like (steam, expands, turbine). (condensation, releases, heat) like (turbine, produces, energy). (humidity, increases, cloud formation) like (pressure, increases, turbine rotation)","Clouds are formed when water droplets in the atmosphere condense due to the release of heat. The condensation process increases the humidity of the atmosphere, which leads to an increase in cloud formation.","A steam turbine utilizes steam to produce energy. The steam expands in the turbine, which increases the pressure and causes the turbine to rotate. As the turbine rotates, it produces energy. The pressure of the steam increases the turbine rotation, which in turn increases the energy production."
1647,472Describe the process of immunization,472,Describe the process of fossilization,Natural Sciences,Biomedical and Health Sciences,Describe the process of immunization,Biomedical and Health Sciences,"(organism, gets covered by, mineralized sediment) like (organism, gets exposed to, antigen). (mineralized sediment, hardens, organic materials) like (antigen, triggers, immune response). (organic materials, conserves, fossils) like (immune response, produces, antibodies)","Fossilization is the process of organic remains getting preserved as fossils. It begins with an organism getting covered by mineralized sediment, which hardens and conserves the organic materials, turning them into fossils. The mineralized sediment replaces the organic material with minerals, leaving a fossilized version of the original organism.","Immunization is a process in which an organism gets exposed to an antigen. This antigen triggers the immune system to produce antibodies in order to protect the organism from further exposure to the antigen. The immune response produces antibodies which are designed to recognize and neutralize the antigen, thus protecting the organism from future exposure."
