,sample_id,source_paragraph,target_paragraph,ground_truth,type
422,20How is air pollution spread across the atmosphere?,"Sediment is transported across the Earth through currents that carry particles of sediment.
  Gravity pulls the particles of sediment down slopes, which helps them move downhill.
  Water is an important factor in the erosion of sediment, as it can carry particles away and deposit them elsewhere.","Air pollution is spread across the atmosphere when winds transport pollutants from one location to another.
  Atmospheric pressure also carries particles from one area to another, which increases the spread of air pollution.
  Furthermore, certain chemicals that are released into the atmosphere can erode the ozone layer and cause further contamination.",1,close analogy
423,1061Describe the steps in conducting a survey research.,"The first step in launching a satellite into space is to place it atop a rocket on a launchpad. The launchpad provides the lift-off and propulsion that is necessary to send the spacecraft into orbit. Fuel is then used to propel the rocket and satellite into space. Once the rocket has reached a certain elevation, the satellite is released and begins its journey in space.","Carbon dioxide enters the leaves through the stomates by diffusion.
Water is transported to the leaves in the xylem.
Energy harvested through light reaction is stored by forming ATP.
Carbon dioxide and energy from ATP are used to create sugar.
Oxygen exits the leaves through the stomata by diffusion.
The plant reuses the water or the water exits through the stomata as water vapor.",0,random
424,683Describe the process of decision-making,"Perspiration is the process of sweating, in which excess body heat is released.
 The pores in your skin open up, releasing sweat that helps to cool the body.
 The process of evaporation then occurs, which in turn cools down the skin.","Decision-making is a complex process that involves evaluation and contemplation.
 First, the evaluation releases information that the mind can use to open up possibilities.
 Then, the contemplation part helps to cool the emotions and allows for more rational thinking and better decision-making.
 Through this process, the individual can make informed decisions.",1,far analogy
425,140How does a mechanical system of air compressor work?,"The lungs are responsible for exchanging oxygen and carbon dioxide in the body. When we take a breath, oxygen enters the lungs. This is facilitated by the diaphragm contracting and expanding the chest cavity. The oxygen is then transported to the alveoli, where it is exchanged for carbon dioxide and then expelled out of the body."," Air enters the compressor. The process is then repeated until the desired pressure is achieved. After achieving the desired pressure, the air is compressed by a piston that contracts within the cylinder. A valve is then used to exchange the air and exhaust. Finally, the valve opens to allow air in and closes to push the compressed air out.",0,distractor
426,737How do people help companies promote their products?,"Animals are an important factor in the dispersal of plant seeds. They carry the seeds in their fur or on their bodies to other locations. Birds also help spread the seeds as they travel and feed. In addition, insects can transport seeds between plants. All these animals help to spread the seeds far and wide, aiding in the propagation of new plants.","Bacteria enters the body.
Bloodstream.
Cells in the body are attacked.
Cells are killed.
Different kinds of sickness are formed.",0,random
427,1265How does an ant build an anthill?,"A bird builds a nest by first collecting sticks from the ground. Then, it arranges the sticks in a circular pattern and shapes the nest. Additionally, the bird may also use other materials such as grass, mud, or feathers to make the nest more comfortable for itself and its young.","You inhale.
The air enters the mouth and nose.
The diaphragm contracts.
Air fills all the sacks in the lungs.
Oxygen passes through the sacks into capillaries.
The blood is passed to the blood in the capillaries.
The blood carries the oxygen to the heart.
The heart pumps the oxygenated blood to the body.",0,random
428,7How does a political system change over time?,"Volcanic eruptions occur when tectonic plates shift and cause changes in the Earth's crust.
  These movements can create a path for magma to rise to the surface, which builds up pressure in the magma chamber.
  The pressure from the magma builds until it is released in the form of a volcanic eruption.","Chemical reactions in the battery causes a build up of electrons at the anode.
This results in an electrical difference between the anode and the cathode.
The electrons wants to rearrange themselves to get rid of this difference.
The electrons go to the cathode.
Electricty is created.",0,random
429,526Describe the life cycle of a butterfly,"Humans reproduce to create offspring. These babies develop into children and then eventually into adults. Eventually, these adults will die of old age and the cycle will start all over again.","Coal is put in a coal-fired steam station.
Water is put in pipes in the coal-fired steam station.
The coal is crushed.
The coal is moved into a boiler along with hot air.
The water is moving through pipes in the boiler.
The steam from the water is blown against a turning mechanism.
The force of the steam makes the mechanism turn.
The mechanism generates electricity.",0,random
430,1049How does a rock form?,"Rust forms when oxygen reacts with iron.
 The combination of oxygen and iron creates a chemical reaction that produces iron oxide.
 Hydrogen also combines with iron to form iron hydride.
 Moisture accelerates the corrosion process and helps to create rust.","A rock forms when water reacts with minerals such as quartz, feldspar, and mica.
 The water combines with the minerals, and carbon dioxide combines with calcium, to form a sedimentary rock.
 The addition of heat accelerates the crystallization process, resulting in a solid rock.",1,far analogy
431,229How does a levee prevent rising water levels?,"Dams are constructed to help stop flooding by blocking the flow of a river.
 The dam creates a reservoir that stores the water, enabling it to be released slowly.
 Sluice gates are used to control the water levels, allowing for the water to be released when necessary.","A fuel is heated in an oven.
Above the oven is a tank of water that is sealed.
The tank of water begins to boil above the oven.
A the water boils steam is created.
The steam is denser than air so it needs a place to go.
The steam is forced out of the tank and into a piston.
The piston moves up.
The valve of the piston closes.
The valve on the next piston opens.
The steam fills the next piston, driving it up, and the other one down.",0,random
432,747How do tunnels form?,"Caverns are formed when water erodes limestone.
 The water slowly wears away the limestone, creating large cavities.
 Stalactites hang from the ceiling of the cavern, and stalagmites rise from the floor.
 The erosion process continues over millions of years until the cavern is formed."," Earthmoving machinery erodes the soil and creates an underground space. Then, concrete rises from the floor to form the walls and ceiling of the tunnel. After the concrete has formed the tunnel, rebar is hung from the ceiling to support the tunnel.",0,distractor
433,665Describe the process of distillation,"Desalination is the process of removing salt from saltwater. The saltwater is heated until it evaporates, leaving the salt behind in the liquid. The water vapor is then passed through a condenser, which cools the vapor and turns it back into a liquid. The salt remains in the liquid, leaving only the distilled liquid, which is collected as purified water."," The process begins when the vapor passes through a condenser, which cools it and turns it back into a liquid. Then, the mixture is heated and the volatile components form vapor, while non-volatile solutes, like salts, remain in liquid. After the mixture is heated, a mixture of liquids is used as a starting point. Finally, the distillate is collected and is the purified liquid.",0,distractor
434,1154How is coal formed?,"Oil is created when decaying organic matter undergoes high pressure and temperature.
  This process forms hydrocarbons from the remains of dead organisms.
  The hydrocarbons then travel through sedimentary rocks, where they are trapped and form petroleum.","Coal is formed from the remains of ancient plants that were buried underground, where high pressure and temperature caused their organic compounds to change.
  This process created the fossil fuel that is coal, which is found in sedimentary rocks that have trapped it over millions of years.",1,close analogy
435,771How does the cardiovascular system function?,"Lungs take in oxygen and expel carbon dioxide. This process is called respiration. The air we breathe is filled with oxygen.
 The bronchi transport oxygen to the alveoli, which are small air sacs in the lungs. The alveoli absorb the oxygen and then transfer it to the bloodstream. The lungs then expel the carbon dioxide that was produced when the body used the oxygen.","Living organisms in the sea die.
The matter forms on the sea floor.
Layers of sediment form above the matter compressing it.
After many years the matter is compressed and heated.
The result is that crude oil forms.",0,random
436,212How does the formation of clouds occur?,"Rain occurs when water vapor is created through the process of evaporation.
  The sun's energy heats the ground, causing warm air to rise up into the atmosphere.
  The warm air then cools and condenses, forming clouds.
  The clouds become too heavy with water droplets and eventually precipitate, resulting in rain.","Wind and water erode rocks.
The wind and water pick up sediment that came off the rocks.
Sediment is carried to an area by the wind, water, air, or ice.
Sediment is deposited on the same spot many times.
The sediment piles on top of other sediment for a long time.
The sediment near the bottom is compressed by the weight of newer sediment.
The sediment becomes sedimentary rock as it is pushed together by the heavy weight.",0,random
437,656Describe the lifecycle of a frog,"The lifecycle of a butterfly begins when a butterfly hatches from its egg as a larvae.
 The larvae then eats leaves, and undergoes a process of metamorphosis that transforms it into an adult.
 The adult butterfly then lays eggs, which will start the lifecycle anew.","A liquid is heated from an external source.
The heat causes the molecules in the liquid to increase in energy.
As the molecules absorb more energy, they start to move faster.
As the molecules are moving faster they are increasing in temperature.
When the molecules reach a certain temperature, the boiling point, they change from liquid to gas state.
As the liquid molecules go into a gaseous state, they float out into the atmosphere.
When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.",0,random
438,165How does the digestive system work?,"The stomach is an organ that secretes gastric juices to help break down food.
 These gastric juices contain enzymes that aid in digestion.
 The stomach breaks down the food molecules into small components which can then be absorbed by the body.
 The stomach absorbs the nutrients and vitamins from the food and sends them to the rest of the body to be used for energy and growth.","The digestive system is responsible for breaking down nutrients into smaller parts.
 It secretes various enzymes that help break down food into smaller substances that can be absorbed by the body.
 These substances can be used for energy or converted into vitamins and minerals that are absorbed by the body.
 Thus, the digestive system is responsible for not only breaking down nutrients, but also absorbing vitamins and minerals that the body needs.",1,close analogy
439,22How do glaciers shape the landscape?,"Valleys are formed through a combination of natural forces. Rainfall erodes the rock surfaces, gradually wearing them away. A river then carves out a valley as it flows through the land. Earthquakes can also shift landmasses and further shape the valley.","A plant produces a fruit with seeds in it.
An animal eats the fruit.
The animal wanders to another area.
The animal defecates.
The seeds are included in the waste.
The seeds produce a new plant.",0,random
440,139How does an air conditioning system works?,"When we inhale, air enters the lungs. Oxygen molecules are then absorbed by small air sacs called alveoli. The oxygen is then transported to the bloodstream while carbon dioxide is exhaled from the lungs. This exchange of gases is essential for life and is facilitated by the lungs."," Air enters the air conditioning system. Then, the air is circulated throughout the space. Afterward, the air is cooled by the coolant that is absorbed by the evaporator. Finally, the hot air that has been cooled is exhaled from the condenser, completing the cycle.",0,distractor
441,867How does a bacterial colony proliferate on food?,"Mold is a type of fungi that colonizes bread. It feeds on the carbohydrates present in the bread, allowing it to grow and spread. As the mold grows, it releases spores, allowing it to rapidly spread to other areas of the bread. The mold continues to grow and spread until the bread is completely covered in mold.","A blood clot forms in the break.
Cells in the clot keep foreign objects out.
Cells create a soft callous.
Minerals are added to the callous.
The callous hardens because of the minerals.
The callous is removed by other cells.
Excess bone is removed.
The bone is restored to its initial shape and strength.",0,random
442,58How does an avalanche occur?,"Floods happen when heavy rain saturates the soil, causing water to accumulate in low-lying areas.
 The excess water can cause the ground to become unstable, leading to flooding."," A heavy snowfall saturates the mountain slope. This instability then causes the snow to break loose. After the snow breaks loose, it accumulates on the steep slopes. As the snow accumulates, it becomes increasingly unstable. Finally, the avalanche is created.",0,distractor
443,1266How do ants build a nest?,"A bird begins building a nest by collecting twigs from its surroundings. It then interweaves the twigs together to form the base of the nest. Once the base is complete, the bird lines the nest with soft materials such as feathers and grass to provide insulation and comfort.",Ants build their nests by collecting soil from their surroundings and molding it into the desired shape. The ants then use their mandibles to line the interior of the nest with the soil. This process helps to fortify the nest and protect the ants from the elements.,1,close analogy
444,516Describe the life cycle of a human being,"The life cycle of a frog begins with an egg. The egg then develops into a tadpole. As the tadpole grows, it develops back legs, front legs, and eventually metamorphoses into an adult frog. The adult frog then releases its own eggs, starting the cycle anew.","First you dig a whole.
You place a pumpkin seed in the hole.
You put some dirt over the seed.
You water the seed.
The seed will sprout.
A vine will grow.
The vine will flower.
Pumpkins will appear where the flowers were.",0,random
445,441Describe how transpiration helps to keep a plant cool.,"Perspiration helps to keep someone cool by evaporating body heat.
  When sweat is released from the pores, it cools the skin and helps to reduce body temperature.
  The evaporation of the sweat draws body heat away from the body, leading to a decrease in overall temperature.","Transpiration helps to keep a plant cool by allowing it to evaporate the heat that it produces.
  This process involves water vapor being released from the stomata on the leaves.
  As this water vapor is released, it effectively cools the leaves, which helps to regulate the temperature of the plant.",1,far analogy
446,45How do clouds form?,"Rain forms when water vapor in the atmosphere condenses into droplets.
  The process of condensation is triggered by heat, which evaporates ocean water into the atmosphere.
  When the atmosphere cools, the water droplets freeze and form rain."," Heat from the Sun evaporates moisture from the ground. In cold temperatures, the ice crystals can freeze, creating a thicker cloud. Afterward, moisture rises in the air and cools. Finally, when the air cools, it causes the moisture to condense, forming clouds.",0,distractor
447,232How does sonar work?,"Bats use echolocation to navigate their surroundings.
  They emit sound waves which bounce off objects and return as an echo.
  The echo reflects the sound waves back to the bat and the bat listens for the echo to return.
  The echo helps the bat to determine the size and shape of the object with which it is interacting."," Ships emit sound waves which travel underwater. The ship then receives the echo and measures the distance and size of the object. Afterward, sound waves hit an object and create an echo. Finally, the echo reflects the sound waves back to the ship, completing the process.",0,distractor
448,31How does a tunnel form?,"Caverns form when water erodes the rock, causing pressure to build up, leading to the collapse of the rock. Underground rivers can also carve out a cave by cutting through the rock. In addition, groundwater can dissolve limestone, which contributes to the formation of caverns.","A tunnel is formed by a drill that erodes the soil and a machine that carves out the tunnel.
  The drill removes the soil, and the machine carves out the tunnel.
  Chemicals may also be used to dissolve the concrete in order to create a smoother wall surface.",1,far analogy
449,7How does a political system change over time?,"Volcanic eruptions occur when tectonic plates shift and cause changes in the Earth's crust.
  These movements can create a path for magma to rise to the surface, which builds up pressure in the magma chamber.
  The pressure from the magma builds until it is released in the form of a volcanic eruption."," Ideas shift public opinion, leading to changes in the political system. The government then implements these changes to address the public's issues. However, protests occur in the streets due to public dissatisfaction. As a result, tension builds in the political climate, creating an unstable environment.",0,distractor
450,22How is an ocean trench formed?,"Valleys are formed through erosion.
  As water, wind, and ice erode the land, they create deep troughs that become valleys.
  Rivers also have a hand in valley formation, carving out the land as they flow.
  When the valleys are formed, they are often filled with sediment, which can be carried by wind and rivers.","An ocean trench is formed primarily by tectonic activity.
  The collision of two tectonic plates creates a depression in the ocean floor.
  Over time, the ocean current carves the depression deeper and wider, forming the ocean trench.
  The trench is then filled with silt, which eventually becomes sedimentary rock.",1,close analogy
451,643Describe the life cycle of a human being,"The life cycle of a frog begins with an egg.
 The egg develops into a tadpole, which is the juvenile stage of a frog.
 As the tadpole matures, it metamorphoses into an adult frog.
 The adult frog reproduces, producing offspring, which are also in the form of eggs.
 The cycle then repeats itself as the eggs develop into tadpoles and finally into adult frogs.","Prophase, the chromosomes become visible.
Centrioles separate to move to opposite poles.
Metaphase, the chromosomes line up in the center.
Anaphase, the chromatids separate.
Are pulled apart.
Telophase, the chromosomes gather at opposite poles.
Two new nuclear membranes form.
The cell membranes pinch.
Divide into two individual cells.",0,random
452,263How does a mechanical system of waste management work?,"Recycling works by taking garbage and separating it into recyclables such as paper, glass, and plastic. Paper is then ground into fibers, while glass is melted into pellets. The recycled materials are then used to create new products, reducing the need for new materials and helping to conserve the environment."," The system grinds the plastic into pellets and melts the metal into parts. Following this, a mechanical system separates waste into components. Once separated, the processed plastic and metal can be used in other products.",0,distractor
453,747How does a volcano form?,"Caverns are formed by a process of erosion. Rainwater erodes the rocks and the sediment that comes along with it. The dissolved minerals in the water fill the cracks and crevices of the rocks. Over time, the ground water dissolves the limestone and other rocks, causing the formation of a cavern."," Magma from deep within the Earth's surface starts to erode the rocks around it. Then, the magma builds up and erupts, forming a volcano. After the eruption, as the magma continues to rise, it begins to dissolve the rocks and the cracks and fissures created by the dissolving rocks fill with lava.",0,distractor
454,58How does an avalanche occur?,"Floods happen when heavy rain saturates the soil, causing water to accumulate in low-lying areas.
 The excess water can cause the ground to become unstable, leading to flooding.","Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",0,random
455,369How do the human body obtain and use water?,"Plants obtain water from their surroundings through their roots. The roots absorb water molecules from the soil and this water is then transported to the leaves and other parts of the plant. The water molecules then travel up the plant through the xylem. At the same time, the stomata on the leaves transpire water molecules into the atmosphere. This process helps to provide water to the plant and cool it down.","Coal is put in a coal-fired steam station.
Water is put in pipes in the coal-fired steam station.
The coal is crushed.
The coal is moved into a boiler along with hot air.
The water is moving through pipes in the boiler.
The steam from the water is blown against a turning mechanism.
The force of the steam makes the mechanism turn.
The mechanism generates electricity.",0,random
456,702Describe the process of climate change,"The greenhouse effect is a process in which certain gases in the atmosphere, such as carbon dioxide and methane, trap heat from the sun as it enters the atmosphere. This trapped heat is then prevented from escaping, causing the temperature of the Earth's surface to rise."," Climate change is caused by the trapping of infrared radiation by carbon dioxide in the atmosphere. Solar radiation enters the atmosphere and is partially trapped by carbon dioxide. The global temperature rises at the surface due to the trapped solar radiation. A shift in global climate patterns is observed. After the shift, the trapped energy is released as heat. Finally, the gradual warming of the planet occurs.",0,distractor
457,1142Describe how oil spills can negatively affect marine life,"Forest fires can be devastating to the animal population living in the area. The fire can destroy their habitat, leaving them with no place to hide or live. The smoke from the fire can block out the sunlight, making it difficult for them to find food and access fresh water. Additionally, the extreme heat of the fire can kill vegetation, reducing the food sources available to the animals.","Air is taken through the mouth.
Enters the lungs.
The oxygen fills the sacs in your lungs.
Carbon dioxide is removed from the lungs and exhaled.
The oxygen is pass throughout your body.",0,random
458,112How does the human digestive system work?,"Photosynthesis is a process that occurs in plants and certain other organisms. During photosynthesis, sunlight provides energy which is used to convert carbon dioxide and water into sugars and oxygen. This conversion takes place in the chloroplast, and the oxygen produced is released into the atmosphere.","The human digestive system begins with the process of breaking down food particles.
  Food provides essential nutrients that are necessary for proper bodily functions.
  The stomach is the first organ to convert food particles into a liquid form.
  From there, the nutrients are then transported through the small intestine, where the body absorbs them.
  Finally, the waste is released into the colon and expelled from the body.",1,far analogy
459,1217How do coral reefs form?,"Forests are formed when trees absorb carbon dioxide and use it to grow. 
 The process starts when seeds germinate in the soil and develop into saplings.
 The saplings then form roots that anchor the tree in the ground and allow it to absorb more nutrients.
 As the trees grow, they form a dense canopy that provides shelter and shade to the forest floor.","Coral reefs form when coral polyps absorb calcium carbonate from the ocean, which they use to build a hard skeleton. Spores of the polyps germinate in the sediment and eventually form a colony. These polyps use their tentacles to capture food and to anchor themselves to the reef, allowing the coral reef to grow.",1,close analogy
460,720How does the condensation of water vapor form clouds?,"The process of cloud formation begins with sunlight heating the air.
 The rising air cools as it rises, and when the air reaches its condensation level the water vapor condenses and clouds are formed.
 The condensation of the water vapor is what forms the clouds in the sky.","Heat energy warms the air, causing it to rise and cool.
 When the cooling air reaches its dew point, the water vapor it contains condenses into tiny droplets.
 These droplets combine to form clouds.",1,close analogy
461,494How does a plant respond to seasonal changes?,"Hibernation is a process in which an animal reduces its metabolic rate and stores energy reserves to conserve body heat.
  The animal enters a dormant stage, so its body temperature and heart rate decrease.
  In this state, the animal's energy reserves are utilized to help it survive the cold climate.
  The animal also reduces its breathing and other bodily functions, allowing it to conserve its energy reserves for an extended period of time.","An animal walk s by a plant.
The animal gets seeds stuck in their fur.
The animal eats some fruit of the tree containing seeds.
The animal loses seeds from the fur in other locations.
Then eaten seeds are defecated out in other locations.",0,random
462,300How can viruses spread disease?,Bacteria can cause disease when they invade cells in the body. They can produce toxins that damage the cells and cause inflammation in the body. Bacteria also produce enzymes which can break down cell walls and damage tissue. This invasion and damage can lead to a variety of symptoms and illnesses.," Viruses invade cells and reproduce. Following this, illness develops due to the inflammation and toxin production. After the illness develops, the viruses produce toxins and cause inflammation in the invaded cells. In some cases, these toxins spread to other parts of the body.",0,distractor
463,1195How does a lion get food?,"An eagle locates its prey by soaring above the ground and scanning for movements. Once the eagle spots its prey, it swoops down and catches it in its talons. The eagle then carries the prey to a safe place where it can consume it."," A lion locates its prey using its keen sense of smell and sight. With its prey in its grasp, the lion can then feed. After feeding, the lion pounces on the prey, using its powerful muscles and claws to grab and immobilize it.",0,distractor
464,539How does the alveolar membrane work?,"The lungs are responsible for breathing in oxygen and exhaling carbon dioxide. They draw in air from the environment and filter it to remove any particles or pollutants. Oxygen is absorbed into the bloodstream to be circulated throughout the body, while the lungs exhale carbon dioxide as a by-product of the respiration process."," The alveolar membrane facilitates the exchange of oxygen and carbon dioxide between the air and the bloodstream. It is composed of two layers, the alveolar epithelium and the capillary endothelium. It is responsible for filtering the air, absorbing oxygen, and releasing carbon dioxide into the body. The alveolar membrane is a thin layer of tissue that is responsible for the exchange of oxygen and carbon dioxide in the body.",0,distractor
465,643Describe the life cycle of a human being,"The life cycle of a frog begins with an egg.
 The egg develops into a tadpole, which is the juvenile stage of a frog.
 As the tadpole matures, it metamorphoses into an adult frog.
 The adult frog reproduces, producing offspring, which are also in the form of eggs.
 The cycle then repeats itself as the eggs develop into tadpoles and finally into adult frogs."," The life cycle of a human being begins when a zygote develops into a fetus. The adult then has the capability to procreate, creating their own offspring and completing the life cycle. After procreation, the fetus grows, maturing into a child and eventually into an adult.",0,distractor
466,873How does water get from the aquifer to a home?,"Oil is extracted from the ground using a variety of methods, such as drilling.
 Once extracted, the oil is transported through pipelines to its destination.
 The oil is then stored in tanks at the gas station.
 From there, it is pumped into the gas tanks of cars, allowing people to fill up their vehicles with fuel.","Sunlight enters the atmosphere.
The light reaches the oceans.
The oceans are warmed.
Water evaporates.
Water vapor accumulates in the air.
As it cools, water condenses onto particles of dust in the air.
As enough water condenses, clouds are formed.",0,random
467,496Describe the process of evaporation,"Perspiration is the process of sweating. When the body gets too hot, sweat is released from the skin. As the sweat evaporates, it takes away some of the heat from the body. The water vapor from the sweat then travels up into the atmosphere.","The process of evaporation occurs when heat causes liquid water to be released from the surface into the atmosphere as vapor.
 The heat causes the water molecules to move faster and escape from the liquid surface into the atmosphere.
 Once the water has been evaporated, the vapor travels through the atmosphere until it condenses and returns to its liquid form.",1,far analogy
468,316What happens during the erosion of soil?,"Weathering is the process of breaking down rocks over time. Temperature changes cause rocks to expand and contract, which weakens them and makes them more prone to breaking. Rainfall erodes rocks, while sunlight breaks them down even further. All these processes combine to form the process of weathering.","Forest fires burn forests.
The animals living in the forest have fewer places to hide.
Predators can now find their prey eaiser.
Birds will fly away from the area.
Waters warm up which hurts the fish swimming in them.",0,random
469,516Describe the life cycle of a human,"The life cycle of a frog begins with an egg, which hatches into a tadpole. As the tadpole develops, it eventually changes into an adult frog. The adult frog then mates and lays eggs, which in turn hatch into tadpoles and the cycle begins again. The entire process of the tadpole developing into an adult frog and the adult frog laying eggs to begin the cycle again is the life cycle of a frog."," The life cycle of a human begins with the fertilization of an ovum. The adult human can then mate, producing offspring and starting the cycle anew. After the adult human has mated and produced offspring, the ovum hatches into a fetus. Finally, the fetus develops into an adult human.",0,distractor
470,263How does a mechanical system of waste management work?,"Recycling works by taking garbage and separating it into recyclables such as paper, glass, and plastic. Paper is then ground into fibers, while glass is melted into pellets. The recycled materials are then used to create new products, reducing the need for new materials and helping to conserve the environment.","A mechanical system of waste management separates the waste into its components.
 The system then grinds the plastic into pellets, and melts the metal into parts.
 Once the plastic and metal have been separated and processed, they can be used in other products.",1,close analogy
471,834How does a bacteria cause a disease in humans?,"When a virus invades an animal, it enters the cells of the animal's body. Once inside the cell, the virus releases toxins that cause the cell to die. At the same time, the virus also reproduces itself, which allows it to spread to other cells, causing the infection to spread.","Bread is exposed to the elements.
Bread absorbs water from the air.
Bread absorbs warmth from the air.
Dust particles with mold spores fall on bread.
Mold spores start to consume the bread for energy.
Mold colonies grow until they are visible.",0,random
472,701Describe the process of global warming,"The greenhouse effect is a process in which the Sun emits infrared radiation, which is then absorbed by the Earth's atmosphere. This absorbed radiation then causes the Earth to become warmer. Carbon dioxide in the atmosphere traps the heat, creating a barrier that prevents the heat from escaping. Additionally, the ozone layer in the atmosphere absorbs ultraviolet radiation, further contributing to the greenhouse effect.","Global warming is an increase in the average temperature of the Earth's atmosphere and oceans.
 It is caused by the increasing concentrations of greenhouse gases, such as carbon dioxide and methane, in the atmosphere.
 These gases trap the solar radiation that is emitted by the sun, preventing it from escaping into space.
 The ozone layer also plays an important role in global warming, as it absorbs some of the ultraviolet radiation that reaches the Earth.",1,far analogy
473,1053How does a heated building stay warm?,"A greenhouse is able to stay warm due to the sunlight that enters through the glass. The sunlight warms the air inside the greenhouse and the glass helps to trap the heat. In addition, the plants inside the greenhouse absorb the sunlight and help to maintain the warm temperature.","A rig drills into the earth where oil is present.
A pipe is placed in the hole.
A pump is added to the pipe.
Oil is pumped out.
Oil is placed in barrels.
Barrels are loaded on trucks.
Trucks go to a refinery.
Crude oil is refined to motor oil.
Motor oil is bottle.
Shipped to gas stations.",0,random
474,254How do bacteria use other organisms to help spread their genetic material?,"Plants use animals to help disburse their seeds by providing a food source that allows animals such as birds to ingest the seeds. The ingested seeds are then transported by the birds to another location where they are distributed back into the environment. This is a beneficial process for the plants, as it helps them to spread out their seeds over a wider area.","Bacteria can use other organisms to spread their genetic material.
 Insects can ingest the bacteria and then transport it in their bodies to other locations.
 This allows the bacteria to be distributed far and wide.
 Insects can spread the bacteria over a wide range of territories, allowing them to quickly and efficiently spread their genetic material.",1,close analogy
475,1265How does an ant build an anthill?,"A bird builds a nest by first collecting sticks from the ground. Then, it arranges the sticks in a circular pattern and shapes the nest. Additionally, the bird may also use other materials such as grass, mud, or feathers to make the nest more comfortable for itself and its young.","An ant builds an anthill by collecting dirt from the surrounding environment. Once the ant has gathered enough material, it begins to arrange and shape the dirt into the structure of the anthill. The ant works diligently to form an intricate structure that can provide shelter and security. The ant continues to arrange and shape the dirt until the anthill is complete.",1,close analogy
476,880How does snow form?,"Rain occurs when evaporation increases the humidity of the air.
 As the humidity increases, the water vapor rises into the atmosphere.
 Once the water vapor has risen high enough, the temperature decreases and the air becomes saturated with water vapor, causing it to condense and form clouds.
 When the clouds become heavy enough, the rain falls."," Snow forms when condensation increases the moisture in the atmosphere. At this point, the water droplets freeze and form snow. Then, water droplets rise in the atmosphere until the temperature drops to the freezing point. Finally, the decrease in temperature causes the water droplets to reach their freezing point, leading to the formation of snow.",0,distractor
477,135How does a radar system locate objects?,"Bats use echolocation in order to navigate in the dark. They emit sound waves which travel through the air and bounce off objects. The bats then detect the sound reflections and interpret them to determine the location of the object. This process is known as echo location, and it allows the bats to map out their environment and locate prey."," A radar system uses electromagnetic waves to locate objects. The radar is then able to detect the reflections of the electromagnetic waves and interpret the radar signals to determine the location of the object. After detecting the object, the radar emits electromagnetic waves that travel outward in all directions. When these waves encounter an object, they are reflected back to the radar.",0,distractor
478,1053How does a building maintain a comfortable temperature?,"Sunlight enters the greenhouse and is trapped by the glass walls, which acts as a barrier against the cold air outside.
 The heat from the sunlight is trapped inside, making the greenhouse warm.
 Ventilation is used to release the warm air from the inside, so that the temperature remains comfortable."," Heat enters the building through windows, walls, and the roof. Then, air conditioning is used to release cool air into the building. Afterward, insulation is used to trap the heat and prevent it from escaping. Finally, a comfortable temperature is maintained inside the building by regulating the amount of heat that is trapped and released.",0,distractor
479,846How does the education system remove ignorance from society?,"Blood carries waste from the organs and tissues of the body to the kidneys.
 The kidneys filter out toxins from the blood, and the liver breaks down chemicals and other substances.
 The waste is then removed from the body through urine and feces. The blood then carries oxygen and nutrients back to the organs and tissues.","Education carries knowledge that can be used to remove ignorance from society.
 Institutions filter out outdated beliefs and teach people to think critically to gain new knowledge and skills.
 Teachers play an important role in this process by breaking down misconceptions and replacing them with more accurate information. Ultimately, this contributes to a better understanding of the world and reduces ignorance in society.",1,far analogy
480,11How does water cause landslides?,"The waves from the ocean erode the shoreline.
  The current is also constantly wearing away sediment.
  The tide carries away debris as it comes in and out.
  Erosion by the ocean is a continuous process that slowly changes the landscape.","Water can erode the mountain side, causing the soil to become weak and wear away.
  Heavy rains can cause floods which can further wear away the soil, and carry away debris.
  The combination of water and debris can cause landslides to occur.",1,close analogy
481,499Describe how a solar cell works,"A flashlight is powered by a battery that stores electrical energy.
  The switch activates the electrical circuit, causing the electrical energy to flow from the battery to the light bulb.
  This energy is then converted into light, which is emitted from the light bulb.","A solar cell stores solar energy and uses it to power electrical devices.
  When light hits the solar cell, a sensor activates the photovoltaic circuit.
  The circuit converts the solar energy into electrical energy, which then powers a light-emitting diode.
  The diode emits light, which is then used to power various electrical devices.",1,far analogy
482,796How does the human respiratory system work?,"The lungs are responsible for exchanging oxygen and carbon dioxide. 
 The alveoli absorb the carbon dioxide from the body and the bronchioles deliver oxygen-rich air to the alveoli. 
 The oxygen is then passed into the bloodstream, where it is circulated throughout the body. 
 The bronchioles also help to remove carbon dioxide from the body by delivering it back out of the lungs. 
 The exchange of oxygen and carbon dioxide is essential for the body to function properly."," The bronchioles deliver the air to the lungs. Immediately, the oxygen is then carried by the blood to the rest of the body. After this, it passes through the alveoli. The alveoli then absorb the oxygen from the air and expel the carbon dioxide. Finally, the carbon dioxide is exhaled.",0,distractor
483,1136How do cats hunt in the dark?,"Owls have an incredible night vision, which helps them to locate their prey in the dark.
 Using their enhanced sight, they can easily spot their prey and swoop down to catch it.
 Their night vision also gives them the advantage of surprise, allowing them to swoop in undetected and catch their unsuspecting prey.","Cats have an incredible ability to hunt in the dark. They use their night vision to locate prey in low light conditions. The cats will then stalk and pounce on the prey to catch it. This process is made easier by their natural night vision, which helps them locate and track prey in the dark.",1,close analogy
